entity_id,org_id,value,datasource,created_date,modified_date
100000000031.0,1.0,529900ZAXBMQDIWPNB72,,,
100000000103.0,1.0,0O4KBQCJZX82UKGCBV73,,,
100001000792.0,7.0,408472449,,,
100000000019.0,1.0,ZSN2LWNPYW6ISMRUC664,,,
100000000101.0,1.0,5299005SPZ1QYL51JD25,,,
100000000054.0,1.0,213800C2VSFZG3EZLO34,,,
100001010016.0,2.0,5035455976,,,
100000000066.0,1.0,254900I8KYDELP4B4Z08,,,
100000000018.0,1.0,ACMHD8HWFMFUIQQ8Y590,,,
100000000049.0,1.0,9676009Y9EB75VVPHK29,,,
100000000015.0,1.0,WZE1WSENV6JSZFK0JC28,,,
100000000013.0,1.0,5493003N7447U18U5U53,,,
100000000060.0,1.0,549300RPMQUFGBB7EY44,,,
100000000067.0,1.0,549300T1AP7HKCABII19,,,
100000000014.0,1.0,549300QAZ8A74DEDXO80,,,
100000000050.0,1.0,549300MMVL80RTBP3O28,,,
100000000033.0,1.0,5299008HV6OAR885JC40,,,
100000000051.0,1.0,549300ZKLIF7RP6EH823,,,
100000000107.0,1.0,549300QRKTEXGXYVPO80,,,
100000000071.0,1.0,549300V0TR306PZAJ578,,,
100000000084.0,1.0,5493000J801JZRCMFE49,,,
100000000118.0,1.0,QQTTPMZD0WKQL0H5S472,,,
100000000024.0,1.0,5299006FIW436B9V0W80,,,
100000000032.0,1.0,529900O015GLGIMHV534,,,
100000000113.0,1.0,549300I7UVBGWRYMYZ18,,,
100000000114.0,1.0,549300MQYQ9Y065XPR71,,,
100000000030.0,1.0,5299006UDSEJCTTEJS30,,,
100000000112.0,1.0,98TPTUM4IVMFCZBCUR27,,,
100000000117.0,1.0,549300MO45LTBPAU4Z27,,,
100000000111.0,1.0,NQZVQT2P5IUF2PGA1Q48,,,
100000000063.0,1.0,2549001AS1I9A71VG663,,,
100000000099.0,1.0,485100N3EEUN8XYP1J38,,,
100000000104.0,1.0,C6J3FGIWG6MBDGTE8F80,,,
100000000105.0,1.0,549300T15RIMIKZC5Q38,,,
100000000106.0,1.0,54930098PJ4TABDHOT18,,,
100000000108.0,1.0,FPD41G4F3GH7OJ38TS94,,,
100000000109.0,1.0,549300PXSI5A25YMWG60,,,
100000000053.0,1.0,5299005U11RQ1C27MR12,,,
100000000016.0,1.0,549300OD7D2JJUXELP43,,,
100000000023.0,1.0,529900TRW25C535YJ717,,,
100000000026.0,1.0,529900JNTQ792WGWDP25,,,
100000000027.0,1.0,549300V62YJ9HTLRI486,,,
100000000028.0,1.0,98450073FA8F5FA9F851,,,
100000000029.0,1.0,5493000C4S664YT7T556,,,
100000000034.0,1.0,2549002HARR1VE257O76,,,
100000127627.0,4.0,91370521732624468F,,,
100000000192.0,1.0,300300B13I65NHW0AY68,,,
100000000171.0,1.0,300300DOD33ZALKAOC86,,,
100000000189.0,1.0,300300JQY9KHHMAZ9C09,,,
