,ISO,FAO,Deforestation_hectares,Size,ISO2
0,AFG,56,0.004498113525167977,21.412,AF
1,AFG,79,0.0009120742303627801,1.238,AF
2,AFG,116,0.004424649525725787,154.087,AF
3,AFG,221,0.003791489462736745,173.995,AF
4,AFG,222,0.00140889009099725,34.104,AF
5,AFG,234,0.0002241274559253248,4.341,AF
6,AFG,267,0.0002253726084582433,0.386,AF
7,AFG,333,0.0149380949374229,12.38,AF
8,AFG,403,0.002129833407557044,65.378,AF
9,AFG,512,0.0008361199258547534,6.611,AF
10,AFG,515,0.00908961349030484,102.515,AF
11,AFG,521,0.0006524599272492788,3.806,AF
12,AFG,526,0.005641786126653592,89.347,AF
13,AFG,534,0.003167668043744591,29.25,AF
14,AFG,541,0.0001730762020756675,169.649,AF
15,AFG,560,0.005471822805910221,843.142,AF
16,AFG,567,0.02760876711240126,75.606,AF
17,AFG,568,0.01972570642649442,138.992,AF
18,AFG,723,0.001245152532918471,0.003,AF
19,AFG,919,0.03979108689441232,46.047150886059434,AF
20,AFG,1806,0.756030650993834,399.674,AF
21,AGO,15,2.612750186302194,0.699,AO
22,AGO,27,1.75743977894918,3.6765,AO
23,AGO,56,24535.85759574506,740.108,AO
24,AGO,79,2341.284575956276,15.5095,AO
25,AGO,83,404.1997198910314,9.654,AO
26,AGO,116,223.1349572770349,141.4225,AO
27,AGO,122,492.762976205095,367.626,AO
28,AGO,125,4468.812103931951,1522.088,AO
29,AGO,156,682.5788474078117,28.7,AO
30,AGO,236,388.1749452472741,22.3375,AO
31,AGO,242,1448.077347583236,153.998,AO
32,AGO,254,13.63793869416645,27.472,AO
33,AGO,265,30.44573428484181,2.057,AO
34,AGO,267,20.87336295592652,5.854,AO
35,AGO,289,38.13785831490723,3.68,AO
36,AGO,358,274.4496231359569,103.559,AO
37,AGO,388,3.381806083162929,5.8995,AO
38,AGO,402,3.273150137726331,12.448,AO
39,AGO,463,49.40144614414907,92.939,AO
40,AGO,486,1873.965958765382,1233.82,AO
41,AGO,512,87.5395158005417,173.676,AO
42,AGO,619,4.504066808707307,16.751,AO
43,AGO,661,4.40982622247706,0.645,AO
44,AGO,782,1.292724807560059,0.508,AO
45,AGO,789,0.6416987712439353,0.282,AO
46,AGO,919,1343.028435693108,194.48236117987358,AO
47,AGO,1806,25517.54027816906,459.199,AO
48,ALB,44,3.312226055227282,2.7713333333333336,AL
49,ALB,56,6.764460878914919,106.081,AL
50,ALB,71,0.5824357068114546,0.8713333333333334,AL
51,ALB,75,2.423604987055993,9.894,AL
52,ALB,116,1.450467536600734,72.75633333333333,AL
53,ALB,157,0.06478707758510596,1.265,AL
54,ALB,176,0.4149337353801306,38.129,AL
55,ALB,181,0.01245864996146901,0.07,AL
56,ALB,211,0.02257997926873755,0.585,AL
57,ALB,220,0.1429431391240385,7.086,AL
58,ALB,234,1.281602288380114,26.339333333333332,AL
59,ALB,236,0.02160584629574054,0.4196666666666667,AL
60,ALB,260,18.8463216246194,141.884,AL
61,ALB,267,0.07562058263955404,0.753,AL
62,ALB,358,0.747574817092987,11.965333333333334,AL
63,ALB,372,1.180267120172442,10.401333333333334,AL
64,ALB,373,0.9157406524582076,11.714333333333334,AL
65,ALB,388,1.023256156378511,145.11566666666667,AL
66,ALB,393,0.337335417096443,3.1876666666666664,AL
67,ALB,394,0.6817379257560852,8.02,AL
68,ALB,397,0.6384155634549353,55.806,AL
69,ALB,399,0.2894066972778063,16.66166666666667,AL
70,ALB,401,1.143947228259532,39.4665,AL
71,ALB,402,1.232755223564997,21.272333333333332,AL
72,ALB,403,0.878923131086333,38.67966666666666,AL
73,ALB,406,0.8970608128650678,18.986,AL
74,ALB,407,0.08843309517561584,17.53333333333333,AL
75,ALB,414,0.4062063735329411,8.018333333333333,AL
76,ALB,417,0.2221312404170354,3.3113333333333337,AL
77,ALB,420,0.006336172490347259,0.0765,AL
78,ALB,426,0.154052266649292,3.6666666666666665,AL
79,ALB,430,0.07760277479239061,6.154,AL
80,ALB,463,2.994253079019266,8.5105,AL
81,ALB,490,0.06594040078834731,4.473333333333333,AL
82,ALB,495,1.075316544961334,14.793333333333335,AL
83,ALB,497,0.6722637073175292,2.6233333333333335,AL
84,ALB,515,0.6213311694383112,47.766333333333336,AL
85,ALB,521,0.2298841196281994,8.689666666666666,AL
86,ALB,523,0.01260223992888601,3.0476666666666663,AL
87,ALB,526,0.05365224995806618,4.012666666666666,AL
88,ALB,530,0.08251018299750595,13.752,AL
89,ALB,531,0.6233541932320881,22.383333333333333,AL
90,ALB,534,0.3244054380901434,12.005333333333335,AL
91,ALB,536,0.6788960243264647,21.214333333333332,AL
92,ALB,544,0.2393242013944125,7.171,AL
93,ALB,560,1.377341106314435,131.423,AL
94,ALB,567,0.8987013661535738,48.361333333333334,AL
95,ALB,568,0.2473527291211114,16.092666666666666,AL
96,ALB,569,0.05919582650455685,20.363333333333333,AL
97,ALB,577,0.03371634902822892,7.493333333333333,AL
98,ALB,619,0.04902727099052604,2.4605,AL
99,ALB,677,0.1322710543053123,9.397,AL
100,ALB,723,0.03609423852164882,0.322,AL
101,ALB,826,0.09795157031924392,4.730333333333333,AL
102,ALB,919,0.5057830763024795,37.89106015495369,AL
103,ALB,1806,9.60987844974711,418.13750000000005,AL
104,ARG,15,17514.87591851418,3958.042,AR
105,ARG,27,6.628100129446639,417.4485,AR
106,ARG,44,1430.592894873155,831.9555,AR
107,ARG,56,20643.25016163944,7494.8175,AR
108,ARG,71,472.7195422452104,23.251,AR
109,ARG,75,300.4778503259987,82.651,AR
110,ARG,79,20.26993166935893,0.485,AR
111,ARG,83,1131.114555442258,278.534,AR
112,ARG,101,81.3570601349539,9.063,AR
113,ARG,108,1.602699810667644,4.72,AR
114,ARG,116,63.96568283562409,708.8865,AR
115,ARG,125,6.358673862534692,64.7595,AR
116,ARG,156,16.44315268418536,798.921,AR
117,ARG,176,955.0738913760108,329.2235,AR
118,ARG,181,0.6384288244023828,5.687,AR
119,ARG,187,176.8170824764591,23.3695,AR
120,ARG,191,469.8199106848547,100.711,AR
121,ARG,201,126.2574809515846,7.843,AR
122,ARG,210,0.01505588927322066,0.048,AR
123,ARG,221,0.05709105266757392,3.53,AR
124,ARG,222,46.91911562729003,55.0265,AR
125,ARG,236,13950.81176161573,12938.808,AR
126,ARG,242,265.9448949241711,555.5605,AR
127,ARG,260,159.3842702029761,229.791,AR
128,ARG,267,2655.928111945855,1388.8265,AR
129,ARG,275,0.2103802111422732,2.109,AR
130,ARG,280,49.97693117102732,11.453,AR
131,ARG,328,958.636586151338,550.9635,AR
132,ARG,333,7.398036653906864,6.2815,AR
133,ARG,367,0.1317480069124994,34.3635,AR
134,ARG,388,4.06386864498791,658.8845,AR
135,ARG,394,4.792670593363964,104.0875,AR
136,ARG,406,0.3248814699489635,233.224,AR
137,ARG,414,0.293584640866333,1.074,AR
138,ARG,417,4.378926044147819,17.636,AR
139,ARG,423,1.764624045734881,63.412,AR
140,ARG,463,3.684714012427146,259.094,AR
141,ARG,486,0.1951019986570942,65.04,AR
142,ARG,490,7.692310263143986,215.961,AR
143,ARG,495,0.08725968354729588,121.795,AR
144,ARG,497,64.97478806600209,718.935,AR
145,ARG,507,1.795082329144548,32.9135,AR
146,ARG,515,5.827055956002481,166.792,AR
147,ARG,521,5.900725363745139,156.178,AR
148,ARG,523,0.5840788977876292,15.588,AR
149,ARG,531,0.1402661337414628,12.888,AR
150,ARG,544,0.04110937264598572,16.4255,AR
151,ARG,567,0.4079442947373743,49.5955,AR
152,ARG,568,0.1603041528473862,75.5215,AR
153,ARG,569,0.01790737351510122,0.648,AR
154,ARG,571,0.04011940020336439,1.386,AR
