Company,Date,total_score,env_score,soc_score,gov_score,orga_score,policy_score,practice_score,practice_self_score,practice_ext_score,practice_cert_score,sust_policy_score,landbank_score,cert_standards_score,def_biodiv_score,hcv_hcs_score,soils_fire_score,water_chemicals_score,community_land_labour_score,smallholders_suppliers_score,gov_grievance_score,Parent company,Subsidiaries,Bloomberg ticker,Thomson Reuters ticker,Sedol,RSPO Member,Location,Sustainability Report,SR Year
Bakrie Sumatera Plantations Tbk PT,Mar-23,15.5,10.51,19.03,16.67,26.19,16.25,7.69,7.69,0,0,22.7,24.1,5,2.1,9.1,10.2,3.3,26.3,14.3,42.9,Bakrie & Brothers Tbk PT,"PT Huma Indah Mekar (HIM), PT Inti Kemitraan Perdana (IKP), PT Air Muring (AM)",UNSP IJ Equity,UNSP.JK,,,"Indonesia (Sumatra, Bengkulu, Lampung)",https://www.bakriesumatera.com/storage/documents/2022/02/SR_BSP_2015.pdf,2015
Bakrie Sumatera Plantations Tbk PT,Mar-22,16.7,11.82,18.52,18.06,25.61,16.46,10.45,10.45,0,0,-,-,-,-,-,-,-,-,-,-,Bakrie & Brothers Tbk PT,"PT Huma Indah Mekar (HIM), PT Inti Kemitraan Perdana (IKP), PT Air Muring (AM)",UNSP IJ Equity,UNSP.JK,,,"Indonesia (Sumatra, Bengkulu, Lampung)",https://www.bakriesumatera.com/storage/documents/2022/02/SR_BSP_2015.pdf,2015
Bakrie Sumatera Plantations Tbk PT,Mar-21,26.8,20.35,29.29,22,36.21,29.41,17.44,17.44,0,0,-,-,-,-,-,-,-,-,-,-,Bakrie & Brothers Tbk PT,"PT Huma Indah Mekar (HIM), PT Inti Kemitraan Perdana (IKP), PT Air Muring (AM)",UNSP IJ Equity,UNSP.JK,,,"Indonesia (Sumatra, Bengkulu, Lampung)",https://www.bakriesumatera.com/storage/documents/2022/02/SR_BSP_2015.pdf,2015
Bakrie Sumatera Plantations Tbk PT,Nov-19,28.2,20.89,31.16,20.83,35.71,32.29,18.29,18.29,0,0,-,-,-,-,-,-,-,-,-,-,Bakrie & Brothers Tbk PT,"PT Huma Indah Mekar (HIM), PT Inti Kemitraan Perdana (IKP), PT Air Muring (AM)",UNSP IJ Equity,UNSP.JK,,,"Indonesia (Sumatra, Bengkulu, Lampung)",https://www.bakriesumatera.com/storage/documents/2022/02/SR_BSP_2015.pdf,2015
Bridgestone Corporation,Mar-23,43.9,34.85,47.43,59.72,36.25,62.19,25,19.26,5.74,0,93.2,15.2,33.3,40.6,57.1,44.1,15.6,65.1,43.8,75,,"Firestone Natural Rubber Company, LLC",5108 JT Equity,5108.T,,,"Liberia (Harbel), Indonesia (Kalimantan, Sumatra), Thailand (Songkhla)",https://www.bridgestone.com/responsibilities/library/pdf/sr2020.pdf,2020
Bridgestone Corporation,Mar-22,40.2,30.27,43.16,56.94,33.75,52.85,26.82,20.45,6.36,0,-,-,-,-,-,-,-,-,-,-,,"Firestone Natural Rubber Company, LLC",5108 JT Equity,5108.T,,,"Liberia (Harbel), Indonesia (Kalimantan, Sumatra), Thailand (Songkhla)",https://www.bridgestone.com/responsibilities/library/pdf/sr2020.pdf,2020
Bridgestone Corporation,Mar-21,47.3,37.65,55.97,70,46.43,59.31,32.93,23.78,9.15,0,-,-,-,-,-,-,-,-,-,-,,"Firestone Natural Rubber Company, LLC",5108 JT Equity,5108.T,,,"Liberia (Harbel), Indonesia (Kalimantan, Sumatra), Thailand (Songkhla)",https://www.bridgestone.com/responsibilities/library/pdf/sr2020.pdf,2020
Bridgestone Corporation,Nov-19,47.1,35.98,54.86,72.92,41.38,62.5,33.72,16.86,16.86,0,-,-,-,-,-,-,-,-,-,-,,"Firestone Natural Rubber Company, LLC",5108 JT Equity,5108.T,,,"Liberia (Harbel), Indonesia (Kalimantan, Sumatra), Thailand (Songkhla)",https://www.bridgestone.com/responsibilities/library/pdf/sr2020.pdf,2020
Cheng Shin Rubber Industry Co Ltd (正新橡胶工业股份有限公司),Mar-23,41.7,30,41.43,45.16,34.62,52.94,29.69,26.56,3.13,0,55,10,30,25,40,50,34.1,65.2,23.2,67.9,,Maxxis,2105 TT Equity,,,,"China (Xiamen, Chongqing, Zhangzhou), Indonesia, India, Thailand, Taiwan, Viet Nam",https://www.cst.com.tw/upload/edm/2210050918160000002.pdf,2021
Cheng Shin Rubber Industry Co Ltd (正新橡胶工业股份有限公司),Mar-22,24.8,18.15,25.37,39.66,38.46,22,17.74,14.52,3.23,0,-,-,-,-,-,-,-,-,-,-,,Maxxis,2105 TT Equity,,,,"China (Xiamen, Chongqing, Zhangzhou), Indonesia, India, Thailand, Taiwan, Viet Nam",https://www.cst.com.tw/upload/edm/2210050918160000002.pdf,2021
