Company,Date,total_score,env_score,soc_score,gov_score,orga_score,policy_score,practice_score,practice_self_score,practice_ext_score,practice_cert_score,sust_policy_score,landbank_score,cert_standards_score,def_biodiv_score,hcv_hcs_score,soils_fire_score,water_chemicals_score,community_land_labour_score,smallholders_suppliers_score,gov_grievance_score,Parent company,Subsidiaries,Bloomberg ticker,Thomson Reuters ticker,Sedol,RSPO Member,Location,Sustainability Report,SR Year
3F Industries,Nov-22,5.1,3.9,4.88,12.79,8.7,5.56,2.5,0,2.5,0,5,3.1,35.7,0,0,0,0,1.7,0,28.6,,,1609263D IN Equity,,,Yes,India,,
3F Industries,Nov-21,5.3,4.79,4.38,12.2,4.76,7.55,2.56,0,2.56,0,-,-,-,-,-,-,-,-,-,-,,,1609263D IN Equity,,,Yes,India,,
3F Industries,Nov-20,5.7,4.79,4.94,13.41,7.14,7.41,2.56,0,2.56,0,-,-,-,-,-,-,-,-,-,-,,,1609263D IN Equity,,,Yes,India,,
AAK AB,Nov-22,58.6,51.26,63.95,70.14,63.04,60.2,53.84,32.24,16.84,4.76,87.5,48.7,80.7,43.8,33.3,50,25,72.8,56.3,75,,,AAK SS Equity,AAK.ST,BFYRRG6,Yes,Global,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,2021
AAK AB,Nov-21,59.3,50.46,63.47,67.07,66.67,61.46,52.24,40.22,7.43,4.59,-,-,-,-,-,-,-,-,-,-,,,AAK SS Equity,AAK.ST,BFYRRG6,Yes,Global,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,2021
AAK AB,Nov-20,51.7,43.15,56.18,60.8,61.9,52.04,45.46,31.86,9.46,4.14,-,-,-,-,-,-,-,-,-,-,,,AAK SS Equity,AAK.ST,BFYRRG6,Yes,Global,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,2021
AAK AB,Oct-19,53.3,43.76,57.98,60.54,59.52,52.54,51.3,19.16,11.14,21,-,-,-,-,-,-,-,-,-,-,,,AAK SS Equity,AAK.ST,BFYRRG6,Yes,Global,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,2021
AAK AB,Nov-18,66.7,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,AAK SS Equity,AAK.ST,BFYRRG6,Yes,Global,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,2021
AgroAmerica,Nov-22,88.9,86.77,88.9,81.36,90.28,92.11,84.81,33.21,25.26,24.91,100,91.4,74.4,82.5,94.6,95.2,89.7,97.1,65.6,85.7,,"Agrocaribe Agroaceite Agropalma de Inversiones, S.A.",1171726D VI Equity,,,Subsidiaries,"Guatemala (Izabal, Retalhuleu), Panama (Chiriqui), Mexico (Veracruz)",https://agroamerica.com/en/tropical-oil-sustainability-report-2021/,2021
AgroAmerica,Nov-21,87.7,86.61,89.5,80.83,93.94,88.51,84.04,17.49,19.72,46.83,-,-,-,-,-,-,-,-,-,-,,"Agrocaribe Agroaceite Agropalma de Inversiones, S.A.",1171726D VI Equity,,,Subsidiaries,"Guatemala (Izabal, Retalhuleu), Panama (Chiriqui), Mexico (Veracruz)",https://agroamerica.com/en/tropical-oil-sustainability-report-2021/,2021
AgroAmerica,Nov-20,85,82.99,82.65,66.32,88.24,93.24,74.59,12.74,37.5,24.34,-,-,-,-,-,-,-,-,-,-,,"Agrocaribe Agroaceite Agropalma de Inversiones, S.A.",1171726D VI Equity,,,Subsidiaries,"Guatemala (Izabal, Retalhuleu), Panama (Chiriqui), Mexico (Veracruz)",https://agroamerica.com/en/tropical-oil-sustainability-report-2021/,2021
AgroAmerica,Oct-19,65.8,63.53,63.08,48.84,48.57,82.28,56.39,9.67,18.08,28.64,-,-,-,-,-,-,-,-,-,-,,"Agrocaribe Agroaceite Agropalma de Inversiones, S.A.",1171726D VI Equity,,,Subsidiaries,"Guatemala (Izabal, Retalhuleu), Panama (Chiriqui), Mexico (Veracruz)",https://agroamerica.com/en/tropical-oil-sustainability-report-2021/,2021
AgroAmerica,Nov-18,63.2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,"Agrocaribe Agroaceite Agropalma de Inversiones, S.A.",1171726D VI Equity,,,Subsidiaries,"Guatemala (Izabal, Retalhuleu), Panama (Chiriqui), Mexico (Veracruz)",https://agroamerica.com/en/tropical-oil-sustainability-report-2021/,2021
Agropalma Group,Nov-22,90.9,88.46,89.08,79.65,94.87,95.45,84.14,29.73,27.38,27.03,95.8,91.4,80.4,97.4,93.3,89.5,97,100,57.8,92.9,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Nov-21,88.2,86.29,85.39,75.49,93.42,92.11,81.68,12.47,25,44.21,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Nov-20,86.4,84.85,83.08,74.6,84.62,90.79,82.69,17.46,40.28,24.96,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Oct-19,82.9,83.56,78.26,73.23,89.74,87.97,74.34,10.71,31.21,32.42,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Nov-18,93.6,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Nov-17,91.4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Jun-17,84.8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Oct-16,92.6,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,May-16,94.1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Oct-15,88.2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Jul-15,92,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Agropalma Group,Apr-15,92,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Alfa Conglomerate,,0214669D BZ Equity,,,Yes,Brazil (Pará state and São Paulo state),https://agropalma.com.br/wp-content/uploads/2022/01/rel_sust_agropalma_2019_portugues_final_09fev21-1613152603.pdf,2019
Anglo-Eastern Plantations plc,Nov-22,57.7,52.38,55.69,45,68.57,71.23,36.33,16.41,9.38,10.55,59.1,79.4,17.9,46.1,65,71.3,54.2,69.3,17.5,71.4,Genton International Limited,,AEP LN Equity,ANEA.L,36577,No,"Indonesia (North Sumatera, Bengkulu, Riau, Bangka, South Sumatera, Kalimantan), Malaysia",,
Anglo-Eastern Plantations plc,Nov-21,54.6,47.78,54.25,41.03,60.29,70.14,33.98,14.06,9.77,10.16,-,-,-,-,-,-,-,-,-,-,Genton International Limited,,AEP LN Equity,ANEA.L,36577,No,"Indonesia (North Sumatera, Bengkulu, Riau, Bangka, South Sumatera, Kalimantan), Malaysia",,
Anglo-Eastern Plantations plc,Nov-20,47.7,44.33,44.33,32.89,52.94,61.11,28.75,12.08,5.83,10.83,-,-,-,-,-,-,-,-,-,-,Genton International Limited,,AEP LN Equity,ANEA.L,36577,No,"Indonesia (North Sumatera, Bengkulu, Riau, Bangka, South Sumatera, Kalimantan), Malaysia",,
