Company,Date,total_score,env_score,soc_score,gov_score,orga_score,policy_score,practice_score,practice_self_score,practice_ext_score,practice_cert_score,sust_policy_score,landbank_score,cert_standards_score,def_biodiv_score,hcv_hcs_score,soils_fire_score,water_chemicals_score,community_land_labour_score,smallholders_suppliers_score,gov_grievance_score,Parent company,Subsidiaries,Bloomberg ticker,Thomson Reuters ticker,Sedol,RSPO Member,Location,Sustainability Report,SR Year
Adindo Foresta Indonesia Tbk PT,Aug-23,0.8,0.36,1.39,3.85,3.57,0,0,0,0,0,8.3,1.9,0,0,0,0,0,0,0,0,,PT Adindo Hutani Lestari,Private company,Private company,,,Indonesia,,
Adindo Foresta Indonesia Tbk PT,Aug-22,0.8,0.37,1.4,3.85,3.66,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,PT Adindo Hutani Lestari,Private company,Private company,,,Indonesia,,
Adindo Foresta Indonesia Tbk PT,Jun-21,0.9,0.38,1.44,3.85,3.66,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,PT Adindo Hutani Lestari,Private company,Private company,,,Indonesia,,
Adindo Foresta Indonesia Tbk PT,Jul-20,0.3,0,0.48,1.28,1.22,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,PT Adindo Hutani Lestari,Private company,Private company,,,Indonesia,,
Adindo Foresta Indonesia Tbk PT,Jul-19,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,PT Adindo Hutani Lestari,Private company,Private company,,,Indonesia,,
Africa Sustainable Investment,Aug-23,2,1.63,2.28,4.32,2.38,0,3.92,0,3.92,0,6.3,5.1,0,0,0,0,0,1.3,0,11.1,,,Private company,Private company,,,"Gabon (Moyen-Ogooué, Ngounié)",,
Africa Sustainable Investment,Aug-22,2.8,2.04,3.55,7.72,2.44,0,6.17,0,6.17,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Gabon (Moyen-Ogooué, Ngounié)",,
Africa Sustainable Investment,Jun-21,1,1.34,1.68,0,2.44,0,1.27,0,1.27,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Gabon (Moyen-Ogooué, Ngounié)",,
Africa Sustainable Investment,Jul-20,0.4,0.58,0.72,0,0,0,1.29,0,1.29,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Gabon (Moyen-Ogooué, Ngounié)",,
Africa Sustainable Investment,Jul-19,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Gabon (Moyen-Ogooué, Ngounié)",,
Afriwood Industries,Aug-23,1.8,1.26,2.54,4.65,4.41,0,2.56,0,2.56,0,0,10.4,0,0,0,0,0,0.4,0,5.6,,,Private company,Private company,,,"Republic of Congo (Pointe-Noire, Kouilou, Niari)",,
Afriwood Industries,Aug-22,4,2.74,5.53,9.09,6.45,2.08,4.83,0,4.52,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Republic of Congo (Pointe-Noire, Kouilou, Niari)",,
Afriwood Industries,Jun-21,2.7,2.63,4.14,7.7,6.45,0,3.92,0,3.92,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Republic of Congo (Pointe-Noire, Kouilou, Niari)",,
Afriwood Industries,Jul-20,5.4,4.17,7.14,8.09,6.45,5.71,4.34,4.34,0,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Republic of Congo (Pointe-Noire, Kouilou, Niari)",,
Afriwood Industries,Jul-19,4.7,4.88,5,2.7,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,Private company,Private company,,,"Republic of Congo (Pointe-Noire, Kouilou, Niari)",,
Agra Bareksa PT,Aug-23,3,1.47,5.14,3.95,0,5.06,2.42,0,0,2.42,0,3.7,0,0,4.6,0,0,9.5,6.3,0,Djarum Group,,Private company,Private company,,,Indonesia,,
Agra Bareksa PT,Aug-22,3,1.48,5.14,3.85,0,5.13,2.38,0,0,2.38,-,-,-,-,-,-,-,-,-,-,Djarum Group,,Private company,Private company,,,Indonesia,,
Agra Bareksa PT,Jun-21,4,1.53,6.73,3.85,0,7.24,2.54,0,2.54,0,-,-,-,-,-,-,-,-,-,-,Djarum Group,,Private company,Private company,,,Indonesia,,
Agra Bareksa PT,Jul-20,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Djarum Group,,Private company,Private company,,,Indonesia,,
Agra Bareksa PT,Jul-19,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Djarum Group,,Private company,Private company,,,Indonesia,,
Agra Bareksa PT,Jul-18,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Djarum Group,,Private company,Private company,,,Indonesia,,
Alas Kusuma Group PT,Aug-23,14.8,13.6,15.19,9.87,3.66,14.56,22.22,0,5.95,16.27,0,12.5,0,25,13.6,10.9,15.6,21.6,12.5,7.1,,PT Sari Bumi Kusuma (SBK) Suka Jaya Makmur (SJM) PT Mayawana Persada PT Wanasokan Hasilindo PT Harjohn Timber PT Bina Silva Nusa,Private company,Private company,,,Kalimantan,,
Alas Kusuma Group PT,Aug-22,14.6,13.25,14.86,7.89,3.75,14.74,21.43,0,4.76,16.67,-,-,-,-,-,-,-,-,-,-,,PT Sari Bumi Kusuma (SBK) Suka Jaya Makmur (SJM) PT Mayawana Persada PT Wanasokan Hasilindo PT Harjohn Timber PT Bina Silva Nusa,Private company,Private company,,,Kalimantan,,
Alas Kusuma Group PT,Jun-21,18.9,16.54,20.15,8.55,3.75,23.03,23.73,0,4.66,19.07,-,-,-,-,-,-,-,-,-,-,,PT Sari Bumi Kusuma (SBK) Suka Jaya Makmur (SJM) PT Mayawana Persada PT Wanasokan Hasilindo PT Harjohn Timber PT Bina Silva Nusa,Private company,Private company,,,Kalimantan,,
Alas Kusuma Group PT,Jul-20,10.6,7.75,13.11,2.63,3.75,20.39,2.59,0,2.59,0,-,-,-,-,-,-,-,-,-,-,,PT Sari Bumi Kusuma (SBK) Suka Jaya Makmur (SJM) PT Mayawana Persada PT Wanasokan Hasilindo PT Harjohn Timber PT Bina Silva Nusa,Private company,Private company,,,Kalimantan,,
